,itemList
1,sausage,whole milk,semi-finished bread,yogurt
2,whole milk,pastry,salty snack
3,canned beer,misc. beverages
4,sausage,hygiene articles
5,soda,pickled vegetables
6,frankfurter,curd
7,sausage,whole milk,rolls/buns
8,whole milk,soda
9,beef,white bread
10,frankfurter,soda,whipped/sour cream
11,frozen vegetables,other vegetables
12,butter,whole milk
13,tropical fruit,sugar
14,butter milk,specialty chocolate
15,sausage,rolls/buns
16,root vegetables,detergent
17,frozen meals,dental care
18,rolls/buns,rolls/buns
19,dish cleaner,cling film/bags
20,canned beer,frozen fish
21,other vegetables,hygiene articles
22,pip fruit,whole milk,tropical fruit
23,rolls/buns,red/blush wine,chocolate
24,other vegetables,shopping bags
25,whole milk,chocolate,packaged fruit/vegetables,rolls/buns
26,root vegetables,whole milk,pastry
27,rolls/buns,rolls/buns
28,whipped/sour cream,margarine
29,bottled water,softener,rolls/buns
30,whole milk,rice
31,shopping bags,skin care
32,whole milk,frankfurter,chicken,frankfurter,flour,chocolate,bottled beer,rolls/buns
33,hamburger meat,liquor (appetizer),liver loaf,dessert
34,tropical fruit,soda,yogurt,root vegetables,yogurt,domestic eggs,white wine,photo/film
35,herbs,yogurt,newspapers
36,tropical fruit,yogurt
37,pastry,ketchup
38,canned fish,cocoa drinks
39,pip fruit,coffee,UHT-milk
40,kitchen towels,sliced cheese
41,bottled water,specialty bar
42,frankfurter,bottled water
43,pip fruit,candles,rolls/buns
44,curd cheese,pastry
45,whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt
46,citrus fruit,candy,bottled water,rolls/buns
47,frankfurter,yogurt
48,tropical fruit,root vegetables,rolls/buns,onions,shopping bags
49,frozen vegetables,brown bread
50,processed cheese,whole milk
51,frozen meals,whole milk
52,white bread,meat,domestic eggs,roll products 
53,root vegetables,mayonnaise
54,other vegetables,mustard
55,hard cheese,napkins,bottled water
56,whole milk,candy
57,tropical fruit,frozen vegetables
58,mustard,whipped/sour cream
59,whole milk,sausage,bottled beer,yogurt
60,canned beer,cookware
61,hamburger meat,butter milk
62,whole milk,rolls/buns
63,citrus fruit,whole milk
64,salty snack,beef
65,fruit/vegetable juice,rolls/buns,chocolate
66,UHT-milk,bottled beer
67,chicken,red/blush wine
68,soft cheese,pip fruit
69,rolls/buns,frankfurter,oil,pip fruit,mayonnaise
70,brown bread,pet care
71,other vegetables,rolls/buns
72,yogurt,beef
73,other vegetables,root vegetables
74,soda,dessert,shopping bags
75,curd,long life bakery product
76,beverages,domestic eggs
77,butter milk,root vegetables
78,berries,cake bar
79,hamburger meat,red/blush wine
80,canned beer,shopping bags
81,canned beer,spices,rolls/buns,frozen fish
82,frozen meals,butter,newspapers,yogurt
83,rolls/buns,baking powder
84,liquor,curd,yogurt,tropical fruit
85,sliced cheese,butter
86,sausage,fruit/vegetable juice
87,beef,napkins
88,whole milk,whipped/sour cream
89,whipped/sour cream,root vegetables,rolls/buns,packaged fruit/vegetables
90,domestic eggs,soda
91,chicken,frozen meals
92,male cosmetics,curd
93,white bread,bottled beer,yogurt,berries
94,sausage,whipped/sour cream,specialty bar
95,fish,root vegetables,tropical fruit,other vegetables
96,coffee,shopping bags
97,ham,cream cheese 
98,canned beer,UHT-milk
99,sausage,dessert,rolls/buns,pickled vegetables
100,fruit/vegetable juice,salty snack,candy,dental care,butter
101,root vegetables,long life bakery product
102,citrus fruit,yogurt
103,root vegetables,whipped/sour cream,root vegetables,canned beer
104,softener,salt,whole milk
105,pork,hamburger meat
106,rolls/buns,bottled water
107,rolls/buns,red/blush wine
108,onions,canned beer,flower (seeds)
109,rolls/buns,sugar
110,soda,butter
111,specialty chocolate,root vegetables
112,rolls/buns,baking powder,onions,bottled water
113,dessert,ham
114,ice cream,pot plants
115,other vegetables,other vegetables,berries
116,beverages,cream cheese 
117,ice cream,whipped/sour cream
118,berries,soda,butter,other vegetables,white bread,cream cheese 
119,yogurt,root vegetables
120,white bread,whole milk,pastry,shopping bags
121,whipped/sour cream,newspapers
122,frankfurter,pastry
123,chicken,waffles
124,fruit/vegetable juice,dessert
125,sausage,snack products,rolls/buns
126,tropical fruit,soda,rolls/buns
127,tropical fruit,newspapers
128,pip fruit,cling film/bags,yogurt,cat food
129,bottled water,domestic eggs,frozen meals
130,whole milk,newspapers
131,pip fruit,white wine,white bread,salt
132,sausage,frozen vegetables
133,whole milk,yogurt,yogurt,rolls/buns
134,whole milk,frozen vegetables
135,fruit/vegetable juice,vinegar
136,citrus fruit,shopping bags,chewing gum,cake bar
137,frankfurter,yogurt,canned beer
138,tropical fruit,white bread,rolls/buns
139,whole milk,pip fruit,whipped/sour cream
140,other vegetables,specialty chocolate
141,Instant food products,whipped/sour cream,butter,cake bar
142,sausage,pork,butter,whole milk,fruit/vegetable juice
143,pip fruit,herbs,frozen meals
144,margarine,napkins
145,salty snack,rolls/buns
146,whole milk,pasta,rolls/buns
147,yogurt,rolls/buns
148,root vegetables,white bread
149,tropical fruit,chicken,onions,packaged fruit/vegetables
150,hamburger meat,yogurt
151,prosecco,dessert
152,chicken,frozen vegetables,candy
153,tropical fruit,brown bread,whole milk
154,beef,dessert
155,whole milk,other vegetables
156,citrus fruit,bottled water
157,citrus fruit,rolls/buns,whole milk
158,tropical fruit,sliced cheese
159,napkins,whole milk,chocolate marshmallow
160,tropical fruit,other vegetables
161,root vegetables,curd
162,fruit/vegetable juice,specialty chocolate,Instant food products
163,root vegetables,yogurt,butter,yogurt
164,chicken,onions
165,whole milk,pastry
